name, username, id, followings
Amanda Holpuch, holpuch, 55020165, 3398
Nadja Popovich, PopovichN, 102115921, 6532
Coral Murphy Marcos, coralmerfi, 766294609882406912, 1809
Emma Goldberg, emmabgo, 608616316, 8298
Christine Chung, chrisychung, 883578990, 7165
Jenny Gross, jggross, 116581134, 4084
Neil Vigdor, gettinviggy, 36602046, 5472
Isabella Kwai, BellaKwai, 950864461, 6469
Jeff Mays, JeffCMays, 247410609, 8477
Priya Krishna, priyakrishna, 1289613978, 87329
Stefanos Chen, stefanoschen, 23111612, 5775
jessica testa, jtes, 20121682, 11452
Michael Levenson, mlevenson, 49033103, 9381
Shawn Hubler, ShawnHubler, 2828876503, 4422
Eric Kim, ericjoonho, 939545678514188290, 9799
Emmanuel Morgan, _EmmanuelMorgan, 3578489052, 2587
Jesus Jiménez, jesus_jimz, 147077615, 7979
Julian E. Barnes, julianbarnes, 50406326, 34984
Aman Batheja, amanbatheja, 14716058, 15897
Catie Edmondson, CatieEdmondson, 2235224052, 6856
Ed Shanahan, edkshanahan, 275166412, 741
Soumya, skarlamangla, 244701234, 32064
Liz Day, LizDDay, 65210964, 14533
Luke Broadwater☀️, lukebroadwater, 26756955, 25905
Michael Rothfeld, mrothfeld, 54356940, 7628
Katie Robertson, katie_robertson, 26460562, 12045
Sameer Yasir, sameeryasir, 253086023, 17095
Dana Rubinstein, danarubinstein, 90746345, 26392
Víctor Manuel Ramos, vmramos, 16458072, 7723
María Sánchez Díez, mimapamundi, 19232807, 7082
Charanna Alexander, charannaNYT, 1268537743493214210, 591
Christina Morales, Christina_M18, 825539718293155842, 3006
Carole Sabouraud, CaroleSabouraud, 1100877700204359681, 144
Eleanore Park 박혜주, eleanorehpark, 22118882, 2852
Stella Bugbee, stellabugbee, 56506548, 20635
Karl Delossantos, karl_delo, 75586944, 1142
Charlie Brinkhurst-Cuff, CharlieBCuff, 823186861, 30919
Anatoly Kurmanaev, AKurmanaev, 1017609582, 41829
tiffany harness, harnesst, 19742295, 279
Lananh Nguyen, LananhTNguyen, 316509947, 6608
Jake Lucas, JakeDLucas, 820436168, 394
Mukul Devichand, MukulDevichand, 115599658, 3786
Ryan Mac 🙃, RMac18, 47191293, 66093
Vjosa Isai, LaVjosa, 834558570, 1969
cora engelbrecht, CoraEngelbrecht, 1115643680, 1064
Kara Swisher, karaswisher, 5763262, 1439774
Rebecca Robbins, RebeccaDRobbins, 368158573, 23804
aleissa bleyl, aleissableyl, 546678275, 642
Kellen Browning, Kellen_Browning, 3291679891, 7061
Anjali Singhvi, singhvianjali, 4922237685, 1907
Erin Schaff, erinschaff, 50188272, 33682
Emily Cochrane, ESCochrane, 2293900364, 32790
Jamie Stockwell, jamiestockwell, 16259275, 5103
giovanni russonello, GioRussonello, 2417990774, 3673
Renán Borelli, renan, 14615273, 3304
Nicholas Bogel-Burroughs, NickAtNews, 3171906881, 8486
Lindsey Wiebe, lindseywiebe, 10004672, 7142
Christine Liang, csmliang, 41153566, 771
Sharon Attia, emmasroommate, 3059529677, 375
Priya Arora, thepriyaarora, 1705806702, 2436
Lucky Benson, TheLuckyBenson, 377500935, 357
Jacob Meschke, jacobmeschke, 2796793695, 708
EverQueen Mason, EverdeenMason, 36672071, 3620
Mara Gay, MaraGay, 38428725, 132569
Amy Julia Harris, amyjharris, 110371258, 6087
Mike Baker, ByMikeBaker, 178065733, 86674
New York Times Arts, nytimesarts, 1440641, 2708813
